oa11cd,all,w,p_w,w_b,p_w_b,w_i,p_w_i,w_g,p_w_g,w_o,p_w_o,m,p_m,m_wbc,p_m_wbc,m_wba,p_m_wba,m_w_a,p_m_w_a,m_o,p_m_o,a,p_a,a_i,p_a_i,a_p,p_a_p,a_b,p_a_b,a_c,p_a_c,a_o,p_a_o,b,p_b,b_a,p_b_a,b_c,p_b_c,b_o,p_b_o,o,p_o,o_a,p_o_a,o_o,p_o_o
E00068657,413,359,86.9,345,83.5,4,1,0,0,10,2.4,11,2.7,9,2.2,0,0,1,0.2,1,0.2,25,6.1,16,3.9,6,1.5,0,0,0,0,3,0.7,18,4.4,12,2.9,3,0.7,3,0.7,0,0,0,0,0,0
E00068658,359,248,69.1,222,61.8,4,1.1,0,0,22,6.1,25,7,17,4.7,3,0.8,4,1.1,1,0.3,50,13.9,34,9.5,1,0.3,0,0,0,0,15,4.2,35,9.7,29,8.1,4,1.1,2,0.6,1,0.3,0,0,1,0.3
E00068659,334,273,81.7,241,72.2,2,0.6,2,0.6,28,8.4,12,3.6,1,0.3,6,1.8,3,0.9,2,0.6,28,8.4,26,7.8,1,0.3,0,0,0,0,1,0.3,6,1.8,6,1.8,0,0,0,0,15,4.5,3,0.9,12,3.6
E00068660,280,127,45.4,109,38.9,3,1.1,0,0,15,5.4,6,2.1,6,2.1,0,0,0,0,0,0,125,44.6,112,40,0,0,0,0,0,0,13,4.6,15,5.4,8,2.9,6,2.1,1,0.4,7,2.5,1,0.4,6,2.1
E00068661,320,225,70.3,194,60.6,6,1.9,0,0,25,7.8,27,8.4,20,6.2,0,0,6,1.9,1,0.3,52,16.2,24,7.5,17,5.3,3,0.9,1,0.3,7,2.2,8,2.5,2,0.6,6,1.9,0,0,8,2.5,0,0,8,2.5
E00068662,338,212,62.7,204,60.4,4,1.2,0,0,4,1.2,12,3.6,1,0.3,3,0.9,2,0.6,6,1.8,106,31.4,82,24.3,6,1.8,0,0,1,0.3,17,5,8,2.4,1,0.3,7,2.1,0,0,0,0,0,0,0,0
E00068663,359,174,48.5,145,40.4,2,0.6,0,0,27,7.5,2,0.6,0,0,0,0,2,0.6,0,0,159,44.3,125,34.8,4,1.1,0,0,2,0.6,28,7.8,16,4.5,8,2.2,8,2.2,0,0,8,2.2,0,0,8,2.2
E00068664,278,210,75.5,200,71.9,3,1.1,0,0,7,2.5,12,4.3,9,3.2,0,0,3,1.1,0,0,33,11.9,25,9,0,0,0,0,0,0,8,2.9,23,8.3,17,6.1,5,1.8,1,0.4,0,0,0,0,0,0
E00068665,382,296,77.5,280,73.3,4,1,0,0,12,3.1,13,3.4,8,2.1,1,0.3,1,0.3,3,0.8,34,8.9,22,5.8,1,0.3,0,0,5,1.3,6,1.6,38,9.9,27,7.1,0,0,11,2.9,1,0.3,1,0.3,0,0
E00068666,324,268,82.7,248,76.5,4,1.2,0,0,16,4.9,6,1.9,0,0,0,0,4,1.2,2,0.6,29,9,12,3.7,0,0,0,0,10,3.1,7,2.2,13,4,9,2.8,0,0,4,1.2,8,2.5,0,0,8,2.5
E00068667,288,231,80.2,213,74,1,0.3,2,0.7,15,5.2,6,2.1,3,1,0,0,0,0,3,1,18,6.2,1,0.3,0,0,0,0,11,3.8,6,2.1,20,6.9,14,4.9,0,0,6,2.1,13,4.5,1,0.3,12,4.2
E00068668,341,291,85.3,270,79.2,1,0.3,3,0.9,17,5,12,3.5,3,0.9,0,0,4,1.2,5,1.5,14,4.1,11,3.2,2,0.6,0,0,0,0,1,0.3,24,7,23,6.7,1,0.3,0,0,0,0,0,0,0,0
E00068669,343,211,61.5,179,52.2,4,1.2,0,0,28,8.2,19,5.5,12,3.5,4,1.2,0,0,3,0.9,47,13.7,21,6.1,3,0.9,0,0,9,2.6,14,4.1,54,15.7,35,10.2,12,3.5,7,2,12,3.5,3,0.9,9,2.6
E00068670,336,295,87.8,283,84.2,2,0.6,0,0,10,3,12,3.6,9,2.7,1,0.3,0,0,2,0.6,15,4.5,8,2.4,0,0,0,0,0,0,7,2.1,12,3.6,7,2.1,4,1.2,1,0.3,2,0.6,1,0.3,1,0.3
E00068671,279,183,65.6,175,62.7,4,1.4,0,0,4,1.4,23,8.2,15,5.4,0,0,3,1.1,5,1.8,35,12.5,22,7.9,6,2.2,0,0,1,0.4,6,2.2,30,10.8,15,5.4,11,3.9,4,1.4,8,2.9,2,0.7,6,2.2
E00068672,343,268,78.1,254,74.1,3,0.9,0,0,11,3.2,15,4.4,5,1.5,4,1.2,6,1.7,0,0,19,5.5,5,1.5,0,0,0,0,12,3.5,2,0.6,39,11.4,35,10.2,0,0,4,1.2,2,0.6,1,0.3,1,0.3
E00068673,289,206,71.3,193,66.8,6,2.1,0,0,7,2.4,5,1.7,1,0.3,0,0,3,1,1,0.3,40,13.8,28,9.7,0,0,0,0,3,1,9,3.1,37,12.8,16,5.5,7,2.4,14,4.8,1,0.3,1,0.3,0,0
E00068674,294,267,90.8,237,80.6,5,1.7,0,0,25,8.5,5,1.7,0,0,1,0.3,3,1,1,0.3,17,5.8,16,5.4,0,0,0,0,1,0.3,0,0,4,1.4,4,1.4,0,0,0,0,1,0.3,0,0,1,0.3
E00068675,410,344,83.9,319,77.8,0,0,0,0,25,6.1,20,4.9,5,1.2,6,1.5,4,1,5,1.2,17,4.1,9,2.2,0,0,0,0,0,0,8,2,28,6.8,15,3.7,5,1.2,8,2,1,0.2,0,0,1,0.2
E00068676,386,252,65.3,233,60.4,0,0,0,0,19,4.9,19,4.9,6,1.6,3,0.8,8,2.1,2,0.5,50,13,20,5.2,15,3.9,1,0.3,1,0.3,13,3.4,56,14.5,42,10.9,9,2.3,5,1.3,9,2.3,1,0.3,8,2.1
E00068677,230,187,81.3,168,73,0,0,0,0,19,8.3,6,2.6,1,0.4,0,0,3,1.3,2,0.9,10,4.3,6,2.6,0,0,0,0,0,0,4,1.7,26,11.3,21,9.1,1,0.4,4,1.7,1,0.4,0,0,1,0.4
E00068678,319,283,88.7,273,85.6,4,1.3,0,0,6,1.9,11,3.4,8,2.5,3,0.9,0,0,0,0,13,4.1,10,3.1,0,0,0,0,2,0.6,1,0.3,12,3.8,7,2.2,5,1.6,0,0,0,0,0,0,0,0
E00068679,261,192,73.6,175,67,3,1.1,0,0,14,5.4,14,5.4,7,2.7,4,1.5,2,0.8,1,0.4,20,7.7,10,3.8,4,1.5,0,0,0,0,6,2.3,33,12.6,24,9.2,3,1.1,6,2.3,2,0.8,0,0,2,0.8
E00068680,299,261,87.3,247,82.6,2,0.7,0,0,12,4,12,4,6,2,1,0.3,5,1.7,0,0,17,5.7,10,3.3,0,0,0,0,2,0.7,5,1.7,9,3,6,2,3,1,0,0,0,0,0,0,0,0
E00068681,281,185,65.8,172,61.2,1,0.4,0,0,12,4.3,14,5,8,2.8,0,0,6,2.1,0,0,69,24.6,60,21.4,6,2.1,0,0,0,0,3,1.1,13,4.6,11,3.9,2,0.7,0,0,0,0,0,0,0,0
E00068682,399,329,82.5,296,74.2,9,2.3,0,0,24,6,14,3.5,6,1.5,2,0.5,0,0,6,1.5,22,5.5,10,2.5,1,0.3,0,0,1,0.3,10,2.5,33,8.3,21,5.3,7,1.8,5,1.3,1,0.3,1,0.3,0,0
E00068683,322,204,63.4,190,59,2,0.6,0,0,12,3.7,19,5.9,10,3.1,1,0.3,5,1.6,3,0.9,59,18.3,25,7.8,4,1.2,2,0.6,1,0.3,27,8.4,36,11.2,26,8.1,8,2.5,2,0.6,4,1.2,1,0.3,3,0.9
E00068684,273,166,60.8,148,54.2,2,0.7,0,0,16,5.9,12,4.4,0,0,1,0.4,8,2.9,3,1.1,91,33.3,74,27.1,5,1.8,0,0,1,0.4,11,4,3,1.1,0,0,3,1.1,0,0,1,0.4,0,0,1,0.4
E00068685,225,134,59.6,126,56,4,1.8,0,0,4,1.8,20,8.9,14,6.2,0,0,2,0.9,4,1.8,40,17.8,26,11.6,2,0.9,0,0,0,0,12,5.3,28,12.4,19,8.4,6,2.7,3,1.3,3,1.3,2,0.9,1,0.4
E00068686,374,153,40.9,139,37.2,6,1.6,0,0,8,2.1,8,2.1,0,0,3,0.8,0,0,5,1.3,189,50.5,151,40.4,6,1.6,5,1.3,2,0.5,25,6.7,15,4,12,3.2,3,0.8,0,0,9,2.4,0,0,9,2.4
E00068688,334,200,59.9,190,56.9,2,0.6,2,0.6,6,1.8,9,2.7,7,2.1,0,0,0,0,2,0.6,112,33.5,106,31.7,0,0,0,0,0,0,6,1.8,13,3.9,4,1.2,9,2.7,0,0,0,0,0,0,0,0
E00068689,278,165,59.4,141,50.7,1,0.4,0,0,23,8.3,2,0.7,0,0,0,0,0,0,2,0.7,94,33.8,74,26.6,1,0.4,6,2.2,5,1.8,8,2.9,13,4.7,4,1.4,8,2.9,1,0.4,4,1.4,1,0.4,3,1.1
E00068690,387,159,41.1,136,35.1,6,1.6,0,0,17,4.4,7,1.8,0,0,0,0,4,1,3,0.8,198,51.2,172,44.4,9,2.3,0,0,0,0,17,4.4,22,5.7,4,1,7,1.8,11,2.8,1,0.3,0,0,1,0.3
E00068691,241,142,58.9,134,55.6,0,0,0,0,8,3.3,2,0.8,2,0.8,0,0,0,0,0,0,71,29.5,69,28.6,0,0,0,0,0,0,2,0.8,17,7.1,13,5.4,4,1.7,0,0,9,3.7,0,0,9,3.7
E00068692,375,146,38.9,126,33.6,4,1.1,0,0,16,4.3,6,1.6,0,0,0,0,4,1.1,2,0.5,189,50.4,164,43.7,0,0,0,0,1,0.3,24,6.4,22,5.9,17,4.5,4,1.1,1,0.3,12,3.2,6,1.6,6,1.6
E00068693,346,70,20.2,41,11.8,0,0,0,0,29,8.4,5,1.4,0,0,1,0.3,4,1.2,0,0,263,76,237,68.5,8,2.3,0,0,4,1.2,14,4,7,2,0,0,7,2,0,0,1,0.3,0,0,1,0.3
E00068694,267,179,67,168,62.9,2,0.7,0,0,9,3.4,9,3.4,3,1.1,0,0,5,1.9,1,0.4,58,21.7,46,17.2,0,0,0,0,6,2.2,6,2.2,19,7.1,7,2.6,6,2.2,6,2.2,2,0.7,1,0.4,1,0.4
E00068695,295,227,76.9,205,69.5,1,0.3,1,0.3,20,6.8,7,2.4,4,1.4,0,0,0,0,3,1,32,10.8,20,6.8,0,0,2,0.7,1,0.3,9,3.1,26,8.8,12,4.1,1,0.3,13,4.4,3,1,2,0.7,1,0.3
E00068696,314,241,76.8,225,71.7,1,0.3,0,0,15,4.8,13,4.1,5,1.6,1,0.3,1,0.3,6,1.9,26,8.3,5,1.6,3,1,0,0,6,1.9,12,3.8,23,7.3,18,5.7,5,1.6,0,0,11,3.5,4,1.3,7,2.2
E00068697,297,261,87.9,239,80.5,4,1.3,0,0,18,6.1,11,3.7,8,2.7,1,0.3,0,0,2,0.7,15,5.1,3,1,0,0,0,0,0,0,12,4,10,3.4,8,2.7,2,0.7,0,0,0,0,0,0,0,0
E00068698,290,227,78.3,220,75.9,2,0.7,0,0,5,1.7,13,4.5,6,2.1,0,0,7,2.4,0,0,16,5.5,7,2.4,2,0.7,0,0,0,0,7,2.4,34,11.7,31,10.7,0,0,3,1,0,0,0,0,0,0
E00068699,292,241,82.5,227,77.7,6,2.1,0,0,8,2.7,8,2.7,6,2.1,1,0.3,1,0.3,0,0,18,6.2,16,5.5,0,0,1,0.3,0,0,1,0.3,24,8.2,11,3.8,1,0.3,12,4.1,1,0.3,0,0,1,0.3
E00068700,305,218,71.5,200,65.6,3,1,0,0,15,4.9,17,5.6,11,3.6,0,0,3,1,3,1,26,8.5,16,5.2,1,0.3,0,0,0,0,9,3,41,13.4,33,10.8,5,1.6,3,1,3,1,0,0,3,1
E00068701,316,293,92.7,277,87.7,4,1.3,0,0,12,3.8,5,1.6,2,0.6,2,0.6,0,0,1,0.3,13,4.1,11,3.5,0,0,1,0.3,0,0,1,0.3,4,1.3,1,0.3,3,0.9,0,0,1,0.3,0,0,1,0.3
E00068702,248,225,90.7,211,85.1,3,1.2,0,0,11,4.4,15,6,11,4.4,0,0,2,0.8,2,0.8,2,0.8,0,0,0,0,0,0,1,0.4,1,0.4,4,1.6,1,0.4,3,1.2,0,0,2,0.8,0,0,2,0.8
E00068703,259,232,89.6,224,86.5,2,0.8,0,0,6,2.3,11,4.2,6,2.3,1,0.4,2,0.8,2,0.8,9,3.5,9,3.5,0,0,0,0,0,0,0,0,4,1.5,0,0,3,1.2,1,0.4,3,1.2,0,0,3,1.2
E00068704,264,234,88.6,219,83,2,0.8,1,0.4,12,4.5,7,2.7,1,0.4,4,1.5,0,0,2,0.8,21,8,5,1.9,5,1.9,0,0,0,0,11,4.2,2,0.8,0,0,2,0.8,0,0,0,0,0,0,0,0
E00068705,337,292,86.6,282,83.7,2,0.6,0,0,8,2.4,14,4.2,10,3,2,0.6,0,0,2,0.6,22,6.5,10,3,0,0,0,0,2,0.6,10,3,9,2.7,0,0,9,2.7,0,0,0,0,0,0,0,0
E00068706,340,277,81.5,246,72.4,3,0.9,0,0,28,8.2,30,8.8,20,5.9,7,2.1,3,0.9,0,0,23,6.8,12,3.5,4,1.2,0,0,0,0,7,2.1,10,2.9,3,0.9,7,2.1,0,0,0,0,0,0,0,0
E00068707,309,249,80.6,217,70.2,1,0.3,0,0,31,10,22,7.1,13,4.2,1,0.3,5,1.6,3,1,22,7.1,15,4.9,1,0.3,0,0,0,0,6,1.9,14,4.5,3,1,10,3.2,1,0.3,2,0.6,2,0.6,0,0
E00068708,301,263,87.4,233,77.4,1,0.3,1,0.3,28,9.3,10,3.3,9,3,0,0,0,0,1,0.3,22,7.3,13,4.3,0,0,0,0,7,2.3,2,0.7,4,1.3,1,0.3,3,1,0,0,2,0.7,0,0,2,0.7
E00068709,315,281,89.2,260,82.5,3,1,0,0,18,5.7,15,4.8,8,2.5,0,0,1,0.3,6,1.9,8,2.5,2,0.6,4,1.3,0,0,0,0,2,0.6,9,2.9,2,0.6,7,2.2,0,0,2,0.6,1,0.3,1,0.3
E00068710,387,352,91,339,87.6,6,1.6,0,0,7,1.8,10,2.6,5,1.3,0,0,4,1,1,0.3,18,4.7,6,1.6,2,0.5,0,0,3,0.8,7,1.8,6,1.6,0,0,6,1.6,0,0,1,0.3,0,0,1,0.3
E00068711,313,278,88.8,263,84,10,3.2,0,0,5,1.6,18,5.8,6,1.9,2,0.6,6,1.9,4,1.3,11,3.5,11,3.5,0,0,0,0,0,0,0,0,4,1.3,3,1,1,0.3,0,0,2,0.6,0,0,2,0.6
E00068712,284,255,89.8,223,78.5,5,1.8,1,0.4,26,9.2,11,3.9,10,3.5,0,0,1,0.4,0,0,13,4.6,13,4.6,0,0,0,0,0,0,0,0,4,1.4,1,0.4,2,0.7,1,0.4,1,0.4,1,0.4,0,0
E00068713,265,231,87.2,225,84.9,0,0,0,0,6,2.3,5,1.9,1,0.4,1,0.4,2,0.8,1,0.4,25,9.4,17,6.4,2,0.8,0,0,5,1.9,1,0.4,4,1.5,4,1.5,0,0,0,0,0,0,0,0,0,0
E00068714,316,281,88.9,269,85.1,4,1.3,0,0,8,2.5,8,2.5,5,1.6,0,0,1,0.3,2,0.6,23,7.3,13,4.1,0,0,0,0,4,1.3,6,1.9,3,0.9,1,0.3,2,0.6,0,0,1,0.3,0,0,1,0.3
E00068715,271,241,88.9,224,82.7,1,0.4,0,0,16,5.9,4,1.5,0,0,1,0.4,3,1.1,0,0,14,5.2,9,3.3,0,0,0,0,0,0,5,1.8,9,3.3,3,1.1,6,2.2,0,0,3,1.1,0,0,3,1.1
E00068716,336,268,79.8,238,70.8,3,0.9,0,0,27,8,21,6.2,11,3.3,5,1.5,3,0.9,2,0.6,33,9.8,22,6.5,3,0.9,0,0,1,0.3,7,2.1,10,3,7,2.1,3,0.9,0,0,4,1.2,1,0.3,3,0.9
E00068717,229,222,96.9,212,92.6,5,2.2,0,0,5,2.2,5,2.2,3,1.3,0,0,2,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.9,2,0.9,0,0,0,0,0,0,0,0,0,0
E00068718,319,300,94,291,91.2,3,0.9,0,0,6,1.9,5,1.6,4,1.3,0,0,0,0,1,0.3,11,3.4,3,0.9,1,0.3,0,0,2,0.6,5,1.6,2,0.6,1,0.3,0,0,1,0.3,1,0.3,0,0,1,0.3
E00068719,276,229,83,219,79.3,3,1.1,1,0.4,6,2.2,8,2.9,3,1.1,2,0.7,2,0.7,1,0.4,31,11.2,27,9.8,0,0,0,0,0,0,4,1.4,8,2.9,5,1.8,3,1.1,0,0,0,0,0,0,0,0
E00068720,325,285,87.7,274,84.3,2,0.6,1,0.3,8,2.5,17,5.2,4,1.2,2,0.6,4,1.2,7,2.2,13,4,7,2.2,1,0.3,1,0.3,0,0,4,1.2,10,3.1,5,1.5,3,0.9,2,0.6,0,0,0,0,0,0
E00068721,291,276,94.8,259,89,4,1.4,1,0.3,12,4.1,0,0,0,0,0,0,0,0,0,0,13,4.5,12,4.1,0,0,0,0,0,0,1,0.3,0,0,0,0,0,0,0,0,2,0.7,1,0.3,1,0.3
E00068722,300,275,91.7,258,86,7,2.3,0,0,10,3.3,6,2,3,1,1,0.3,0,0,2,0.7,18,6,11,3.7,4,1.3,0,0,0,0,3,1,1,0.3,0,0,1,0.3,0,0,0,0,0,0,0,0
E00068723,220,199,90.5,190,86.4,1,0.5,0,0,8,3.6,6,2.7,3,1.4,0,0,2,0.9,1,0.5,7,3.2,2,0.9,0,0,0,0,0,0,5,2.3,7,3.2,0,0,7,3.2,0,0,1,0.5,0,0,1,0.5
E00068724,276,265,96,258,93.5,3,1.1,2,0.7,2,0.7,5,1.8,3,1.1,0,0,0,0,2,0.7,1,0.4,0,0,0,0,0,0,0,0,1,0.4,5,1.8,2,0.7,3,1.1,0,0,0,0,0,0,0,0
E00068725,351,310,88.3,302,86,2,0.6,0,0,6,1.7,12,3.4,6,1.7,0,0,6,1.7,0,0,24,6.8,13,3.7,0,0,0,0,0,0,11,3.1,0,0,0,0,0,0,0,0,5,1.4,1,0.3,4,1.1
E00068726,300,292,97.3,288,96,2,0.7,0,0,2,0.7,5,1.7,5,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.7,1,0.3,1,0.3,0,0,1,0.3,0,0,1,0.3
E00068727,296,249,84.1,244,82.4,1,0.3,0,0,4,1.4,6,2,5,1.7,1,0.3,0,0,0,0,21,7.1,8,2.7,3,1,0,0,0,0,10,3.4,17,5.7,17,5.7,0,0,0,0,3,1,3,1,0,0
E00068728,257,243,94.6,241,93.8,2,0.8,0,0,0,0,3,1.2,2,0.8,0,0,0,0,1,0.4,10,3.9,6,2.3,0,0,0,0,0,0,4,1.6,1,0.4,0,0,1,0.4,0,0,0,0,0,0,0,0
E00068729,318,258,81.1,247,77.7,5,1.6,0,0,6,1.9,16,5,5,1.6,0,0,9,2.8,2,0.6,32,10.1,19,6,2,0.6,0,0,1,0.3,10,3.1,8,2.5,4,1.3,3,0.9,1,0.3,4,1.3,1,0.3,3,0.9
E00068730,263,207,78.7,204,77.6,3,1.1,0,0,0,0,19,7.2,13,4.9,3,1.1,0,0,3,1.1,17,6.5,4,1.5,0,0,0,0,1,0.4,12,4.6,20,7.6,20,7.6,0,0,0,0,0,0,0,0,0,0
E00068731,342,305,89.2,294,86,7,2,0,0,4,1.2,2,0.6,0,0,0,0,0,0,2,0.6,29,8.5,15,4.4,0,0,0,0,0,0,14,4.1,6,1.8,0,0,3,0.9,3,0.9,0,0,0,0,0,0
E00068732,368,312,84.8,299,81.2,3,0.8,0,0,10,2.7,8,2.2,3,0.8,0,0,5,1.4,0,0,28,7.6,27,7.3,0,0,0,0,0,0,1,0.3,12,3.3,7,1.9,3,0.8,2,0.5,8,2.2,0,0,8,2.2
E00068733,216,170,78.7,167,77.3,2,0.9,0,0,1,0.5,6,2.8,4,1.9,0,0,0,0,2,0.9,18,8.3,1,0.5,7,3.2,8,3.7,0,0,2,0.9,17,7.9,11,5.1,6,2.8,0,0,5,2.3,1,0.5,4,1.9
E00068734,315,263,83.5,239,75.9,5,1.6,0,0,19,6,7,2.2,5,1.6,2,0.6,0,0,0,0,21,6.7,11,3.5,3,1,0,0,2,0.6,5,1.6,23,7.3,22,7,1,0.3,0,0,1,0.3,0,0,1,0.3
E00068735,237,205,86.5,196,82.7,3,1.3,1,0.4,5,2.1,8,3.4,7,3,0,0,0,0,1,0.4,10,4.2,5,2.1,0,0,0,0,1,0.4,4,1.7,10,4.2,9,3.8,1,0.4,0,0,4,1.7,4,1.7,0,0
E00068736,266,234,88,220,82.7,5,1.9,0,0,9,3.4,16,6,13,4.9,0,0,2,0.8,1,0.4,9,3.4,5,1.9,0,0,0,0,3,1.1,1,0.4,7,2.6,2,0.8,0,0,5,1.9,0,0,0,0,0,0
E00068737,236,209,88.6,199,84.3,3,1.3,0,0,7,3,18,7.6,11,4.7,1,0.4,4,1.7,2,0.8,6,2.5,2,0.8,0,0,0,0,3,1.3,1,0.4,3,1.3,0,0,3,1.3,0,0,0,0,0,0,0,0
E00068738,289,263,91,239,82.7,4,1.4,0,0,20,6.9,9,3.1,5,1.7,0,0,0,0,4,1.4,17,5.9,14,4.8,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00068739,346,202,58.4,183,52.9,1,0.3,0,0,18,5.2,12,3.5,5,1.4,5,1.4,1,0.3,1,0.3,79,22.8,46,13.3,8,2.3,0,0,0,0,25,7.2,43,12.4,30,8.7,13,3.8,0,0,10,2.9,0,0,10,2.9
E00068740,348,179,51.4,170,48.9,1,0.3,0,0,8,2.3,13,3.7,8,2.3,2,0.6,3,0.9,0,0,64,18.4,47,13.5,0,0,1,0.3,5,1.4,11,3.2,88,25.3,52,14.9,18,5.2,18,5.2,4,1.1,3,0.9,1,0.3
E00068741,286,218,76.2,200,69.9,2,0.7,0,0,16,5.6,12,4.2,4,1.4,2,0.7,1,0.3,5,1.7,39,13.6,29,10.1,0,0,0,0,0,0,10,3.5,17,5.9,11,3.8,6,2.1,0,0,0,0,0,0,0,0
E00068743,308,169,54.9,163,52.9,0,0,0,0,6,1.9,11,3.6,4,1.3,0,0,6,1.9,1,0.3,117,38,99,32.1,0,0,0,0,4,1.3,14,4.5,8,2.6,0,0,8,2.6,0,0,3,1,1,0.3,2,0.6
E00068744,416,316,76,294,70.7,6,1.4,0,0,16,3.8,10,2.4,4,1,0,0,3,0.7,3,0.7,69,16.6,60,14.4,0,0,0,0,7,1.7,2,0.5,18,4.3,15,3.6,2,0.5,1,0.2,3,0.7,2,0.5,1,0.2
E00068745,325,262,80.6,236,72.6,3,0.9,0,0,23,7.1,12,3.7,4,1.2,2,0.6,4,1.2,2,0.6,38,11.7,22,6.8,5,1.5,0,0,1,0.3,10,3.1,13,4,10,3.1,3,0.9,0,0,0,0,0,0,0,0
E00068747,484,267,55.2,238,49.2,1,0.2,7,1.4,21,4.3,16,3.3,9,1.9,0,0,4,0.8,3,0.6,141,29.1,134,27.7,0,0,0,0,1,0.2,6,1.2,44,9.1,32,6.6,2,0.4,10,2.1,16,3.3,0,0,16,3.3
E00068748,248,161,64.9,153,61.7,0,0,0,0,8,3.2,7,2.8,3,1.2,0,0,3,1.2,1,0.4,77,31,61,24.6,4,1.6,0,0,9,3.6,3,1.2,1,0.4,0,0,1,0.4,0,0,2,0.8,2,0.8,0,0
E00068749,286,188,65.7,173,60.5,2,0.7,0,0,13,4.5,15,5.2,7,2.4,0,0,2,0.7,6,2.1,78,27.3,65,22.7,0,0,0,0,10,3.5,3,1,2,0.7,0,0,2,0.7,0,0,3,1,1,0.3,2,0.7
E00068750,260,204,78.5,188,72.3,4,1.5,0,0,12,4.6,11,4.2,4,1.5,0,0,5,1.9,2,0.8,36,13.8,30,11.5,0,0,6,2.3,0,0,0,0,3,1.2,0,0,3,1.2,0,0,6,2.3,0,0,6,2.3
E00068751,341,231,67.7,215,63,4,1.2,0,0,12,3.5,5,1.5,1,0.3,1,0.3,3,0.9,0,0,90,26.4,74,21.7,3,0.9,2,0.6,3,0.9,8,2.3,15,4.4,10,2.9,5,1.5,0,0,0,0,0,0,0,0
E00068752,261,224,85.8,208,79.7,1,0.4,0,0,15,5.7,6,2.3,3,1.1,0,0,1,0.4,2,0.8,24,9.2,24,9.2,0,0,0,0,0,0,0,0,5,1.9,4,1.5,1,0.4,0,0,2,0.8,0,0,2,0.8
E00068753,268,205,76.5,194,72.4,2,0.7,0,0,9,3.4,17,6.3,10,3.7,0,0,6,2.2,1,0.4,37,13.8,27,10.1,0,0,4,1.5,0,0,6,2.2,8,3,6,2.2,2,0.7,0,0,1,0.4,0,0,1,0.4
E00068754,276,202,73.2,191,69.2,1,0.4,0,0,10,3.6,10,3.6,8,2.9,2,0.7,0,0,0,0,47,17,39,14.1,3,1.1,0,0,1,0.4,4,1.4,11,4,10,3.6,0,0,1,0.4,6,2.2,5,1.8,1,0.4
E00068755,297,195,65.7,186,62.6,2,0.7,0,0,7,2.4,11,3.7,5,1.7,2,0.7,4,1.3,0,0,24,8.1,22,7.4,1,0.3,0,0,0,0,1,0.3,63,21.2,37,12.5,10,3.4,16,5.4,4,1.3,0,0,4,1.3
E00068756,285,179,62.8,173,60.7,0,0,0,0,6,2.1,40,14,27,9.5,1,0.4,6,2.1,6,2.1,32,11.2,10,3.5,0,0,0,0,2,0.7,20,7,27,9.5,12,4.2,11,3.9,4,1.4,7,2.5,6,2.1,1,0.4
E00068757,239,198,82.8,188,78.7,2,0.8,0,0,8,3.3,14,5.9,7,2.9,0,0,4,1.7,3,1.3,21,8.8,12,5,2,0.8,0,0,0,0,7,2.9,4,1.7,0,0,4,1.7,0,0,2,0.8,2,0.8,0,0
E00068758,275,197,71.6,181,65.8,1,0.4,0,0,15,5.5,12,4.4,9,3.3,1,0.4,1,0.4,1,0.4,39,14.2,28,10.2,0,0,0,0,0,0,11,4,26,9.5,18,6.5,6,2.2,2,0.7,1,0.4,0,0,1,0.4
E00068759,231,189,81.8,164,71,3,1.3,0,0,22,9.5,7,3,2,0.9,1,0.4,1,0.4,3,1.3,17,7.4,16,6.9,0,0,0,0,0,0,1,0.4,17,7.4,3,1.3,13,5.6,1,0.4,1,0.4,0,0,1,0.4
E00068760,458,343,74.9,328,71.6,1,0.2,0,0,14,3.1,33,7.2,19,4.1,1,0.2,6,1.3,7,1.5,41,9,26,5.7,0,0,0,0,4,0.9,11,2.4,37,8.1,22,4.8,9,2,6,1.3,4,0.9,0,0,4,0.9
E00068761,237,187,78.9,177,74.7,0,0,0,0,10,4.2,13,5.5,2,0.8,1,0.4,2,0.8,8,3.4,22,9.3,17,7.2,0,0,0,0,0,0,5,2.1,15,6.3,8,3.4,5,2.1,2,0.8,0,0,0,0,0,0
E00068762,326,200,61.3,175,53.7,7,2.1,0,0,18,5.5,30,9.2,17,5.2,9,2.8,0,0,4,1.2,31,9.5,30,9.2,0,0,0,0,0,0,1,0.3,65,19.9,44,13.5,12,3.7,9,2.8,0,0,0,0,0,0
E00068763,276,204,73.9,186,67.4,1,0.4,0,0,17,6.2,11,4,3,1.1,0,0,5,1.8,3,1.1,45,16.3,33,12,1,0.4,0,0,0,0,11,4,12,4.3,2,0.7,5,1.8,5,1.8,4,1.4,0,0,4,1.4
E00068764,392,220,56.1,198,50.5,0,0,0,0,22,5.6,20,5.1,7,1.8,0,0,3,0.8,10,2.6,61,15.6,42,10.7,2,0.5,0,0,0,0,17,4.3,76,19.4,49,12.5,3,0.8,24,6.1,15,3.8,9,2.3,6,1.5
E00068765,262,188,71.8,175,66.8,2,0.8,0,0,11,4.2,19,7.3,12,4.6,4,1.5,2,0.8,1,0.4,14,5.3,11,4.2,1,0.4,0,0,0,0,2,0.8,41,15.6,17,6.5,8,3.1,16,6.1,0,0,0,0,0,0
