oa11cd,all,w,p_w,w_b,p_w_b,w_i,p_w_i,w_g,p_w_g,w_o,p_w_o,m,p_m,m_wbc,p_m_wbc,m_wba,p_m_wba,m_w_a,p_m_w_a,m_o,p_m_o,a,p_a,a_i,p_a_i,a_p,p_a_p,a_b,p_a_b,a_c,p_a_c,a_o,p_a_o,b,p_b,b_a,p_b_a,b_c,p_b_c,b_o,p_b_o,o,p_o,o_a,p_o_a,o_o,p_o_o
E00069519,330,191,57.9,162,49.1,6,1.8,0,0,23,7,16,4.8,7,2.1,0,0,6,1.8,3,0.9,91,27.6,82,24.8,0,0,0,0,7,2.1,2,0.6,18,5.5,11,3.3,5,1.5,2,0.6,14,4.2,1,0.3,13,3.9
E00069520,412,295,71.6,241,58.5,6,1.5,0,0,48,11.7,23,5.6,8,1.9,1,0.2,9,2.2,5,1.2,57,13.8,16,3.9,3,0.7,0,0,28,6.8,10,2.4,26,6.3,18,4.4,7,1.7,1,0.2,11,2.7,7,1.7,4,1
E00069521,353,295,83.6,250,70.8,8,2.3,0,0,37,10.5,24,6.8,14,4,1,0.3,2,0.6,7,2,21,5.9,12,3.4,0,0,0,0,3,0.8,6,1.7,13,3.7,8,2.3,4,1.1,1,0.3,0,0,0,0,0,0
E00069522,302,257,85.1,199,65.9,6,2,0,0,52,17.2,8,2.6,3,1,2,0.7,3,1,0,0,26,8.6,15,5,1,0.3,0,0,7,2.3,3,1,7,2.3,0,0,6,2,1,0.3,4,1.3,0,0,4,1.3
E00069523,357,245,68.6,216,60.5,10,2.8,0,0,19,5.3,10,2.8,8,2.2,0,0,2,0.6,0,0,93,26.1,80,22.4,1,0.3,0,0,5,1.4,7,2,5,1.4,1,0.3,3,0.8,1,0.3,4,1.1,0,0,4,1.1
E00069524,411,276,67.2,223,54.3,5,1.2,0,0,48,11.7,17,4.1,4,1,1,0.2,11,2.7,1,0.2,74,18,54,13.1,1,0.2,0,0,1,0.2,18,4.4,33,8,11,2.7,19,4.6,3,0.7,11,2.7,6,1.5,5,1.2
E00069525,317,222,70,173,54.6,3,0.9,0,0,46,14.5,26,8.2,10,3.2,0,0,7,2.2,9,2.8,46,14.5,40,12.6,1,0.3,0,0,0,0,5,1.6,19,6,16,5,2,0.6,1,0.3,4,1.3,1,0.3,3,0.9
E00069526,316,150,47.5,115,36.4,1,0.3,0,0,34,10.8,14,4.4,2,0.6,0,0,6,1.9,6,1.9,144,45.6,134,42.4,3,0.9,0,0,0,0,7,2.2,8,2.5,0,0,1,0.3,7,2.2,0,0,0,0,0,0
E00069527,266,252,94.7,229,86.1,13,4.9,0,0,10,3.8,7,2.6,1,0.4,0,0,3,1.1,3,1.1,6,2.3,6,2.3,0,0,0,0,0,0,0,0,1,0.4,0,0,0,0,1,0.4,0,0,0,0,0,0
E00069528,270,195,72.2,182,67.4,7,2.6,0,0,6,2.2,3,1.1,1,0.4,0,0,2,0.7,0,0,53,19.6,47,17.4,0,0,0,0,4,1.5,2,0.7,13,4.8,8,3,5,1.9,0,0,6,2.2,1,0.4,5,1.9
